comp_id,atom_id,alt_atom_id,type_symbol,charge,pdbx_align,pdbx_aromatic_flag,pdbx_leaving_atom_flag,pdbx_stereo_config,model_Cartn_x,model_Cartn_y,model_Cartn_z,pdbx_model_Cartn_x_ideal,pdbx_model_Cartn_y_ideal,pdbx_model_Cartn_z_ideal,pdbx_component_atom_id,pdbx_component_comp_id,pdbx_ordinal
U,OP3,O3P,O,0,1,N,Y,N,29.106,2.045,0.152,-2.122,1.033,-4.690,OP3,U,1
U,P,P,P,0,1,N,N,N,28.940,2.442,-1.379,-1.030,0.047,-4.037,P,U,2
U,OP1,O1P,O,0,1,N,N,N,28.520,1.217,-2.078,-1.679,-1.228,-3.660,OP1,U,3
U,OP2,O2P,O,0,1,N,N,N,30.133,3.129,-1.866,0.138,-0.241,-5.107,OP2,U,4
U,O5',O5*,O,0,1,N,N,N,27.784,3.522,-1.387,-0.399,0.736,-2.726,O5',U,5
U,C5',C5*,C,0,1,N,N,N,26.432,3.117,-1.047,0.557,-0.182,-2.196,C5',U,6
U,C4',C4*,C,0,1,N,N,R,25.647,4.373,-0.834,1.197,0.415,-0.942,C4',U,7
U,O4',O4*,O,0,1,N,N,N,26.122,5.093,0.327,0.194,0.645,0.074,O4',U,8
U,C3',C3*,C,0,1,N,N,S,25.763,5.465,-1.895,2.181,-0.588,-0.301,C3',U,9
U,O3',O3*,O,0,1,N,N,N,25.041,5.077,-3.062,3.524,-0.288,-0.686,O3',U,10
U,C2',C2*,C,0,1,N,N,R,25.213,6.663,-1.148,1.995,-0.383,1.218,C2',U,11
U,O2',O2*,O,0,1,N,N,N,23.829,6.500,-1.012,3.219,0.046,1.819,O2',U,12
U,C1',C1*,C,0,1,N,N,R,25.917,6.524,0.133,0.922,0.723,1.319,C1',U,13
U,N1,N1,N,0,1,N,N,N,27.224,7.194,0.137,0.028,0.464,2.451,N1,U,14
U,C2,C2,C,0,1,N,N,N,27.201,8.578,0.406,-0.690,-0.671,2.486,C2,U,15
U,O2,O2,O,0,1,N,N,N,26.156,9.121,0.619,-0.587,-1.474,1.580,O2,U,16
U,N3,N3,N,0,1,N,N,N,28.408,9.189,0.403,-1.515,-0.936,3.517,N3,U,17
U,C4,C4,C,0,1,N,N,N,29.660,8.606,0.152,-1.641,-0.055,4.530,C4,U,18
U,O4,O4,O,0,1,N,N,N,30.676,9.330,0.195,-2.391,-0.292,5.460,O4,U,19
U,C5,C5,C,0,1,N,N,N,29.604,7.215,-0.113,-0.894,1.146,4.502,C5,U,20
U,C6,C6,C,0,1,N,N,N,28.447,6.605,-0.111,-0.070,1.384,3.459,C6,U,21
U,HOP3,3HOP,H,0,0,N,N,N,29.377,2.835,0.603,-2.475,0.583,-5.470,HOP3,U,22
U,HOP2,2HOP,H,0,0,N,N,N,30.404,3.919,-1.414,0.534,0.613,-5.325,HOP2,U,23
U,H5',1H5*,H,0,1,N,N,N,25.974,2.434,-1.800,1.329,-0.373,-2.942,H5',U,24
U,H5'',2H5*,H,0,0,N,N,N,26.387,2.417,-0.179,0.060,-1.117,-1.940,H5'',U,25
U,H4',H4*,H,0,1,N,N,N,24.613,3.957,-0.795,1.712,1.345,-1.185,H4',U,26
U,H3',H3*,H,0,1,N,N,N,26.782,5.677,-2.293,1.923,-1.609,-0.583,H3',U,27
U,HO3',H3T,H,0,0,N,Y,N,25.113,5.756,-3.722,4.094,-0.926,-0.234,HO3',U,28
U,H2',H2*,H,0,1,N,N,N,25.358,7.661,-1.622,1.643,-1.301,1.688,H2',U,29
U,HO2',2HO*,H,0,0,N,N,N,23.484,7.251,-0.543,3.865,-0.657,1.671,HO2',U,30
U,H1',H1*,H,0,1,N,N,N,25.312,6.996,0.941,1.392,1.700,1.423,H1',U,31
U,H3,H3,H,0,1,N,N,N,28.370,10.187,0.610,-2.024,-1.762,3.528,H3,U,32
U,H5,H5,H,0,1,N,N,N,30.486,6.589,-0.327,-0.982,1.863,5.305,H5,U,33
U,H6,H6,H,0,1,N,N,N,28.506,5.526,-0.332,0.507,2.295,3.421,H6,U,34
